Time	Cycle	PC	Insn	Decoded instruction	Register and memory contents
6290006f	jal	x0,100ea8	  x0=0x00000000
05412423	sw	x20,72(x2)	  x2:0x00137fa0 x20:0x00000000 PA:0x00137fe8 store:0x00000000 load:0x00000000
03712e23	sw	x23,60(x2)	  x2:0x00137fa0 x23:0x00000000 PA:0x00137fdc store:0x00000000 load:0x00000000
03912a23	sw	x25,52(x2)	  x2:0x00137fa0 x25:0x00000000 PA:0x00137fd4 store:0x00000000 load:0x00000000
00812e27	fsw	f8,28(x2)	  f2:0x00137fa0  f8:0x00000000 PA:0x00137fbc store:0x00000000 load:0x00000000
00912c27	fsw	f9,24(x2)	  f2:0x00137fa0  f9:0x00000000 PA:0x00137fb8 store:0x00000000 load:0x00000000
01212a27	fsw	f18,20(x2)	  f2:0x00137fa0 f18:0x00000000 PA:0x00137fb4 store:0x00000000 load:0x00000000
01312827	fsw	f19,16(x2)	  f2:0x00137fa0 f19:0x00000000 PA:0x00137fb0 store:0x00000000 load:0x00000000
05312623	sw	x19,76(x2)	  x2:0x00137fa0 x19:0x00000000 PA:0x00137fec store:0x00000000 load:0x00000000
05512223	sw	x21,68(x2)	  x2:0x00137fa0 x21:0x00000000 PA:0x00137fe4 store:0x00000000 load:0x00000000
05612023	sw	x22,64(x2)	  x2:0x00137fa0 x22:0x00000000 PA:0x00137fe0 store:0x00000000 load:0x00000000
03812c23	sw	x24,56(x2)	  x2:0x00137fa0 x24:0x00000000 PA:0x00137fd8 store:0x00000000 load:0x00000000
03a12823	sw	x26,48(x2)	  x2:0x00137fa0 x26:0x00101d4c PA:0x00137fd0 store:0x00101d4c load:0x00000000
03b12623	sw	x27,44(x2)	  x2:0x00137fa0 x27:0x00101d48 PA:0x00137fcc store:0x00101d48 load:0x00000000
01412627	fsw	f20,12(x2)	  f2:0x00137fa0 f20:0x00000000 PA:0x00137fac store:0x00000000 load:0x00000000
01512427	fsw	f21,8(x2)	  f2:0x00137fa0 f21:0x00000000 PA:0x00137fa8 store:0x00000000 load:0x00000000
c9cff0ef	jal	x1,100460	  x1=0x00100fc8
00153513	sltiu	x10,x10,1	 x10:0x00000000 x10=0x00000001
40a002b3	sub	x5,x0,x10	  x0:0x00000000 x10:0x00000001  x5=0xffffffff
32029073	csrrw	x0,mcountinhibit,x5	  x5:0xffffffff  x0=0x00000000
00008067	jalr	x0,0(x1)	  x1:0x00100fc8  x0=0x00000000
b98ff0ef	jal	x1,100360	  x1=0x00100fcc
b0201073	csrrw	x0,minstret,x0	  x0:0x00000000  x0=0x00000000
b0001073	csrrw	x0,mcycle,x0	  x0:0x00000000  x0=0x00000000
b0301073	csrrw	x0,mhpmcounter3,x0	  x0:0x00000000  x0=0x00000000
b0401073	csrrw	x0,mhpmcounter4,x0	  x0:0x00000000  x0=0x00000000
b0501073	csrrw	x0,mhpmcounter5,x0	  x0:0x00000000  x0=0x00000000
b0601073	csrrw	x0,mhpmcounter6,x0	  x0:0x00000000  x0=0x00000000
b0701073	csrrw	x0,mhpmcounter7,x0	  x0:0x00000000  x0=0x00000000
b0801073	csrrw	x0,mhpmcounter8,x0	  x0:0x00000000  x0=0x00000000
b0901073	csrrw	x0,mhpmcounter9,x0	  x0:0x00000000  x0=0x00000000
b0a01073	csrrw	x0,mhpmcounter10,x0	  x0:0x00000000  x0=0x00000000
b0b01073	csrrw	x0,mhpmcounter11,x0	  x0:0x00000000  x0=0x00000000
b0c01073	csrrw	x0,mhpmcounter12,x0	  x0:0x00000000  x0=0x00000000
b0d01073	csrrw	x0,mhpmcounter13,x0	  x0:0x00000000  x0=0x00000000
b0e01073	csrrw	x0,mhpmcounter14,x0	  x0:0x00000000  x0=0x00000000
b0f01073	csrrw	x0,mhpmcounter15,x0	  x0:0x00000000  x0=0x00000000
b1001073	csrrw	x0,mhpmcounter16,x0	  x0:0x00000000  x0=0x00000000
b1101073	csrrw	x0,mhpmcounter17,x0	  x0:0x00000000  x0=0x00000000
b1201073	csrrw	x0,mhpmcounter18,x0	  x0:0x00000000  x0=0x00000000
b1301073	csrrw	x0,mhpmcounter19,x0	  x0:0x00000000  x0=0x00000000
b1401073	csrrw	x0,mhpmcounter20,x0	  x0:0x00000000  x0=0x00000000
b1501073	csrrw	x0,mhpmcounter21,x0	  x0:0x00000000  x0=0x00000000
b1601073	csrrw	x0,mhpmcounter22,x0	  x0:0x00000000  x0=0x00000000
b1701073	csrrw	x0,mhpmcounter23,x0	  x0:0x00000000  x0=0x00000000
b1801073	csrrw	x0,mhpmcounter24,x0	  x0:0x00000000  x0=0x00000000
b1901073	csrrw	x0,mhpmcounter25,x0	  x0:0x00000000  x0=0x00000000
b1a01073	csrrw	x0,mhpmcounter26,x0	  x0:0x00000000  x0=0x00000000
b1b01073	csrrw	x0,mhpmcounter27,x0	  x0:0x00000000  x0=0x00000000
b1c01073	csrrw	x0,mhpmcounter28,x0	  x0:0x00000000  x0=0x00000000
b1d01073	csrrw	x0,mhpmcounter29,x0	  x0:0x00000000  x0=0x00000000
b1e01073	csrrw	x0,mhpmcounter30,x0	  x0:0x00000000  x0=0x00000000
b1f01073	csrrw	x0,mhpmcounter31,x0	  x0:0x00000000  x0=0x00000000
b8201073	csrrw	x0,minstreth,x0	  x0:0x00000000  x0=0x00000000
b8001073	csrrw	x0,mcycleh,x0	  x0:0x00000000  x0=0x00000000
b8301073	csrrw	x0,mhpmcounter3h,x0	  x0:0x00000000  x0=0x00000000
b8401073	csrrw	x0,mhpmcounter4h,x0	  x0:0x00000000  x0=0x00000000
b8501073	csrrw	x0,mhpmcounter5h,x0	  x0:0x00000000  x0=0x00000000
b8601073	csrrw	x0,mhpmcounter6h,x0	  x0:0x00000000  x0=0x00000000
b8701073	csrrw	x0,mhpmcounter7h,x0	  x0:0x00000000  x0=0x00000000
b8801073	csrrw	x0,mhpmcounter8h,x0	  x0:0x00000000  x0=0x00000000
b8901073	csrrw	x0,mhpmcounter9h,x0	  x0:0x00000000  x0=0x00000000
b8a01073	csrrw	x0,mhpmcounter10h,x0	  x0:0x00000000  x0=0x00000000
b8b01073	csrrw	x0,mhpmcounter11h,x0	  x0:0x00000000  x0=0x00000000
b8c01073	csrrw	x0,mhpmcounter12h,x0	  x0:0x00000000  x0=0x00000000
b8d01073	csrrw	x0,mhpmcounter13h,x0	  x0:0x00000000  x0=0x00000000
b8e01073	csrrw	x0,mhpmcounter14h,x0	  x0:0x00000000  x0=0x00000000
b8f01073	csrrw	x0,mhpmcounter15h,x0	  x0:0x00000000  x0=0x00000000
b9001073	csrrw	x0,mhpmcounter16h,x0	  x0:0x00000000  x0=0x00000000
b9101073	csrrw	x0,mhpmcounter17h,x0	  x0:0x00000000  x0=0x00000000
b9201073	csrrw	x0,mhpmcounter18h,x0	  x0:0x00000000  x0=0x00000000
b9301073	csrrw	x0,mhpmcounter19h,x0	  x0:0x00000000  x0=0x00000000
b9401073	csrrw	x0,mhpmcounter20h,x0	  x0:0x00000000  x0=0x00000000
b9501073	csrrw	x0,mhpmcounter21h,x0	  x0:0x00000000  x0=0x00000000
b9601073	csrrw	x0,mhpmcounter22h,x0	  x0:0x00000000  x0=0x00000000
b9701073	csrrw	x0,mhpmcounter23h,x0	  x0:0x00000000  x0=0x00000000
b9801073	csrrw	x0,mhpmcounter24h,x0	  x0:0x00000000  x0=0x00000000
b9901073	csrrw	x0,mhpmcounter25h,x0	  x0:0x00000000  x0=0x00000000
b9a01073	csrrw	x0,mhpmcounter26h,x0	  x0:0x00000000  x0=0x00000000
b9b01073	csrrw	x0,mhpmcounter27h,x0	  x0:0x00000000  x0=0x00000000
b9c01073	csrrw	x0,mhpmcounter28h,x0	  x0:0x00000000  x0=0x00000000
b9d01073	csrrw	x0,mhpmcounter29h,x0	  x0:0x00000000  x0=0x00000000
b9e01073	csrrw	x0,mhpmcounter30h,x0	  x0:0x00000000  x0=0x00000000
b9f01073	csrrw	x0,mhpmcounter31h,x0	  x0:0x00000000  x0=0x00000000
00008067	jalr	x0,0(x1)	  x1:0x00100fcc  x0=0x00000000
00100513	addi	x10,x0,1	  x0:0x00000000 x10=0x00000001
c90ff0ef	jal	x1,100460	  x1=0x00100fd4
00153513	sltiu	x10,x10,1	 x10:0x00000001 x10=0x00000000
40a002b3	sub	x5,x0,x10	  x0:0x00000000 x10:0x00000000  x5=0x00000000
32029073	csrrw	x0,mcountinhibit,x5	  x5:0x00000000  x0=0x00000000
00008067	jalr	x0,0(x1)	  x1:0x00100fd4  x0=0x00000000
00102537	lui	x10,0x102	 x10=0x00102000
9a850513	addi	x10,x10,-1624	 x10:0x00102000 x10=0x001019a8
